=== Computing metrics from saved activations ===
--- pythia-14m ---
All 58 steps already have metrics in results/results_pythia-14m.npy
--- pythia-31m ---
All 58 steps already have metrics in results/results_pythia-31m.npy
--- pythia-70m ---
All 58 steps already have metrics in results/results_pythia-70m.npy
--- pythia-160m ---
All 58 steps already have metrics in results/results_pythia-160m.npy
--- pythia-160m-deduped ---
All 58 steps already have metrics in results/results_pythia-160m-deduped.npy
--- pythia-410m ---
All 58 steps already have metrics in results/results_pythia-410m.npy
--- pythia-410m-deduped ---
All 58 steps already have metrics in results/results_pythia-410m-deduped.npy
--- pythia-1b ---
All 58 steps already have metrics in results/results_pythia-1b.npy
--- pythia-1b-deduped ---
Computing metrics for 58/58 steps using 18 workers...
  Step 96000: rankme=360.215, alpha=0.854, r2_100=0.998
  Step 3000: rankme=300.043, alpha=0.916, r2_100=0.999
  Step 119000: rankme=310.249, alpha=0.909, r2_100=0.998
  Step 64000: rankme=503.574, alpha=0.783, r2_100=0.999
  Step 0: rankme=278.736, alpha=0.760, r2_100=0.980
  Step 256: rankme=11.211, alpha=1.752, r2_100=0.999
  Step 32000: rankme=623.695, alpha=0.759, r2_100=0.999
  Step 125000: rankme=304.131, alpha=0.917, r2_100=0.998
  Step 41000: rankme=585.117, alpha=0.769, r2_100=0.999
  Step 87000: rankme=393.939, alpha=0.835, r2_100=0.999
  Step 99000: rankme=351.256, alpha=0.864, r2_100=0.998
  Step 85000: rankme=401.208, alpha=0.827, r2_100=0.999
  Step 58000: rankme=524.121, alpha=0.782, r2_100=0.999
  Step 61000: rankme=498.045, alpha=0.784, r2_100=0.999
  Step 44000: rankme=575.892, alpha=0.766, r2_100=0.999
  Step 90000: rankme=367.739, alpha=0.847, r2_100=0.999
  Step 73000: rankme=446.154, alpha=0.815, r2_100=0.999
  Step 114000: rankme=316.805, alpha=0.900, r2_100=0.998
  Step 12000: rankme=543.539, alpha=0.791, r2_100=0.999
  Step 143000: rankme=288.178, alpha=0.935, r2_100=0.998
  Step 35000: rankme=614.443, alpha=0.768, r2_100=0.999
  Step 122000: rankme=307.113, alpha=0.916, r2_100=0.997
  Step 47000: rankme=561.124, alpha=0.774, r2_100=0.999
  Step 111000: rankme=322.047, alpha=0.896, r2_100=0.998
  Step 64: rankme=17.661, alpha=1.065, r2_100=0.964
  Step 128000: rankme=304.518, alpha=0.921, r2_100=0.998
  Step 140000: rankme=289.990, alpha=0.933, r2_100=0.997
  Step 116000: rankme=310.694, alpha=0.908, r2_100=0.998
  Step 79000: rankme=422.423, alpha=0.815, r2_100=0.999
  Step 29000: rankme=610.685, alpha=0.770, r2_100=0.999
  Step 50000: rankme=557.304, alpha=0.770, r2_100=0.999
  Step 32: rankme=140.602, alpha=0.847, r2_100=0.978
  Step 93000: rankme=368.479, alpha=0.853, r2_100=0.999
  Step 53000: rankme=541.135, alpha=0.772, r2_100=0.999
  Step 38000: rankme=609.416, alpha=0.761, r2_100=0.999
  Step 8: rankme=273.546, alpha=0.762, r2_100=0.980
  Step 134000: rankme=292.813, alpha=0.924, r2_100=0.998
  Step 27000: rankme=625.993, alpha=0.771, r2_100=0.999
  Step 15000: rankme=562.210, alpha=0.782, r2_100=0.999
  Step 102000: rankme=346.711, alpha=0.876, r2_100=0.998
  Step 512: rankme=22.769, alpha=1.725, r2_100=0.999
  Step 137000: rankme=294.129, alpha=0.928, r2_100=0.998
  Step 24000: rankme=606.443, alpha=0.773, r2_100=0.999
  Step 9000: rankme=485.539, alpha=0.812, r2_100=0.999
  Step 18000: rankme=580.626, alpha=0.778, r2_100=0.999
  Step 21000: rankme=607.874, alpha=0.770, r2_100=0.999
  Step 108000: rankme=331.987, alpha=0.884, r2_100=0.998
  Step 105000: rankme=332.611, alpha=0.883, r2_100=0.998
  Step 56000: rankme=541.496, alpha=0.774, r2_100=0.999
  Step 1000: rankme=83.767, alpha=1.212, r2_100=0.998
  Step 67000: rankme=461.958, alpha=0.796, r2_100=0.999
Saved 58 results to results/results_pythia-6.9b.npy
--- pythia-6.9b-deduped ---
Computing metrics for 58/58 steps using 18 workers...
  Step 6000: rankme=398.491, alpha=0.780, r2_100=0.999
  Step 119000: rankme=204.896, alpha=0.871, r2_100=0.998
  Step 87000: rankme=284.876, alpha=0.814, r2_100=0.998
  Step 256: rankme=11.545, alpha=1.749, r2_100=0.999
  Step 64000: rankme=386.574, alpha=0.761, r2_100=0.999
  Step 128: rankme=12.409, alpha=1.475, r2_100=0.979
  Step 70000: rankme=372.295, alpha=0.777, r2_100=0.999
  Step 3000: rankme=288.317, alpha=0.857, r2_100=0.998
  Step 96000: rankme=253.367, alpha=0.829, r2_100=0.999
  Step 0: rankme=278.736, alpha=0.760, r2_100=0.980
  Step 76000: rankme=324.284, alpha=0.790, r2_100=0.999
  Step 16: rankme=252.125, alpha=0.783, r2_100=0.978
  Step 82000: rankme=309.849, alpha=0.799, r2_100=0.998
  Step 32000: rankme=556.906, alpha=0.720, r2_100=0.999
  Step 131000: rankme=187.311, alpha=0.887, r2_100=0.998
  Step 125000: rankme=194.986, alpha=0.881, r2_100=0.998
  Step 99000: rankme=242.663, alpha=0.836, r2_100=0.998
  Step 41000: rankme=517.711, alpha=0.734, r2_100=0.999
  Step 85000: rankme=288.805, alpha=0.812, r2_100=0.998
  Step 58000: rankme=425.684, alpha=0.757, r2_100=0.999
  Step 44000: rankme=516.603, alpha=0.731, r2_100=0.999
  Step 90000: rankme=276.848, alpha=0.819, r2_100=0.999
